id,user_id,order_date,status,last_updated_dt
1,1,2018-01-01,returned,2024-05-19
2,3,2018-01-02,completed,2024-05-19
3,94,2018-01-04,completed,2024-05-19
4,50,2018-01-05,completed,2024-05-19
5,64,2018-01-05,completed,2024-05-19
6,54,2018-01-07,completed,2024-05-19
7,88,2018-01-09,completed,2024-05-19
8,2,2018-01-11,returned,2024-05-19
9,53,2018-01-12,completed,2024-05-19
10,7,2018-01-14,completed,2024-05-19
11,99,2018-01-14,completed,2024-05-19
12,59,2018-01-15,completed,2024-05-19
13,84,2018-01-17,completed,2024-05-19
14,40,2018-01-17,returned,2024-05-19
15,25,2018-01-17,completed,2024-05-19
16,39,2018-01-18,completed,2024-05-19
17,71,2018-01-18,completed,2024-05-19
18,64,2018-01-20,returned,2024-05-19
19,54,2018-01-22,completed,2024-05-19
20,20,2018-01-23,completed,2024-05-19
21,71,2018-01-23,completed,2024-05-19
22,86,2018-01-24,completed,2024-05-19
23,22,2018-01-26,return_pending,2024-05-19
24,3,2018-01-27,completed,2024-05-19
25,51,2018-01-28,completed,2024-05-19
26,32,2018-01-28,completed,2024-05-19
27,94,2018-01-29,completed,2024-05-19
28,8,2018-01-29,completed,2024-05-19
29,57,2018-01-31,completed,2024-05-19
30,69,2018-02-02,completed,2024-05-19
31,16,2018-02-02,completed,2024-05-19
32,28,2018-02-04,completed,2024-05-19
33,42,2018-02-04,completed,2024-05-19
34,38,2018-02-06,completed,2024-05-19
35,80,2018-02-08,completed,2024-05-19
36,85,2018-02-10,completed,2024-05-19
37,1,2018-02-10,completed,2024-05-19
38,51,2018-02-10,completed,2024-05-19
39,26,2018-02-11,completed,2024-05-19
40,33,2018-02-13,completed,2024-05-19
41,99,2018-02-14,completed,2024-05-19
42,92,2018-02-16,completed,2024-05-19
43,31,2018-02-17,completed,2024-05-19
44,66,2018-02-17,completed,2024-05-19
45,22,2018-02-17,completed,2024-05-19
46,6,2018-02-19,completed,2024-05-19
47,50,2018-02-20,completed,2024-05-19
48,27,2018-02-21,completed,2024-05-19
49,35,2018-02-21,completed,2024-05-19
50,51,2018-02-23,completed,2024-05-19
51,71,2018-02-24,completed,2024-05-19
52,54,2018-02-25,return_pending,2024-05-19
53,34,2018-02-26,completed,2024-05-19
54,54,2018-02-26,completed,2024-05-19
55,18,2018-02-27,completed,2024-05-19
56,79,2018-02-28,completed,2024-05-19
57,93,2018-03-01,completed,2024-05-19
58,22,2018-03-01,completed,2024-05-19
59,30,2018-03-02,completed,2024-05-19
60,12,2018-03-03,completed,2024-05-19
61,63,2018-03-03,completed,2024-05-19
62,57,2018-03-05,completed,2024-05-19
63,70,2018-03-06,completed,2024-05-19
64,13,2018-03-07,completed,2024-05-19
65,26,2018-03-08,completed,2024-05-19
66,36,2018-03-10,completed,2024-05-19
67,79,2018-03-11,completed,2024-05-19
68,53,2018-03-11,completed,2024-05-19
69,3,2018-03-11,completed,2024-05-19
70,8,2018-03-12,completed,2024-05-19
71,42,2018-03-12,shipped,2024-05-19
72,30,2018-03-14,shipped,2024-05-19
73,19,2018-03-16,completed,2024-05-19
74,9,2018-03-17,shipped,2024-05-19
75,69,2018-03-18,completed,2024-05-19
76,25,2018-03-20,completed,2024-05-19
77,35,2018-03-21,shipped,2024-05-19
78,90,2018-03-23,shipped,2024-05-19
79,52,2018-03-23,shipped,2024-05-19
80,11,2018-03-23,shipped,2024-05-19
81,76,2018-03-23,shipped,2024-05-19
82,46,2018-03-24,shipped,2024-05-19
83,54,2018-03-24,shipped,2024-05-19
84,70,2018-03-26,placed,2024-05-19
85,47,2018-03-26,shipped,2024-05-19
86,68,2018-03-26,placed,2024-05-19
87,46,2018-03-27,placed,2024-05-19
88,91,2018-03-27,shipped,2024-05-19
89,21,2018-03-28,placed,2024-05-19
90,66,2018-03-30,shipped,2024-05-19
91,47,2018-03-31,placed,2024-05-19
92,84,2018-04-02,placed,2024-05-19
93,66,2018-04-03,placed,2024-05-19
94,63,2018-04-03,placed,2024-05-19
95,27,2018-04-04,placed,2024-05-19
96,90,2018-04-06,placed,2024-05-19
97,89,2018-04-07,placed,2024-05-19
98,41,2018-04-07,placed,2024-05-19
99,85,2018-04-09,placed,2024-05-19